ADMD_CD,AMT_IND,LCLS_10_P,LCLS_20_P,LCLS_30_P,LCLS_40_P,LCLS_50_P,LCLS_60_P,LCLS_70_P,LCLS_80_P
hagye1,-5.722768800467597,-1.5765624909486933,-5.441739790252682,-10.084825290360898,-5.823407666879143,0.9520718273249528,-16.230768130865936,1.6897375682508762,-16.97243334065994
sanggye2,-2.0814389641042785,-2.856833951601268,5.031206094298856,-5.833470826268577,-7.958981979358509,4.6125552092363975,-10.80203257773848,-9.414314676086324,4.349882192384469
gyonam,-0.5895802860457516,-1.6777606763029742,-0.05044739100496975,-2.871525535280412,4.7822454058020725,11.472065390727716,-7.904229866570897,7.7613968812508976,22.126621800013623
sanggye10,-12.331579699337055,-6.351027267761455,-9.29629467385565,-20.822532092592283,1.4586104391313002,-2.9115140925219944,3.4296077542952075,-2.2459256710549362,-7.877464084329111
sanggye5,-2.4131576111079687,2.276581872722564,0.8615706890786355,-9.500324935103183,10.837400244989423,4.2521581663765255,-20.867000630238213,-1.1859110184365649,-6.140921464479972
sanggye2,-2.7189399180661566,-4.382120927974087,1.8463651280242253,-4.551183669455706,5.916651805030079,-4.3935657225393525,-2.986354193157257,-2.8288955709898405,1.214595637413926
sanggye67,-3.7739279008384177,-2.504927213360111,-3.2872549871427124,-5.526682496092132,-16.16160904919119,9.996656198040958,-5.641729315922957,10.791495496977127,-9.072427807488188
sanggye1,-4.281666295944591,1.1045895839650939,-3.4290696055153687,-9.17688578148548,-8.58280149626846,3.3313044545975314,-12.237151783137493,0.5062646996910722,-7.575496817425653
sanggye67,-4.283939730979457,-4.052901054546985,3.7381129628695935,-9.360980287575703,-13.495192387618019,5.0271627941113834,1.4145853489257911,2.814600507766136,-7.654894649958331
jongno1234,-13.824012978537445,-15.8807567466911,-10.116014159511687,-17.452336100400682,-15.91652421177098,1.5454753829071362,-10.711378461767664,-3.605653162635262,11.90080745537908
jongno1234,-13.037598376425755,-15.160011466451705,-5.019119005598098,-18.1651148174984,-13.214018355445015,-0.08140972361993178,-12.068548960237665,-3.913103789833939,11.025909949870544
jongno1234,-13.116882016160949,-14.542983773924494,-5.9761658853696975,-18.459294416583944,-13.929202912079727,1.2176636332513953,-12.004776971413154,-5.565763919659606,4.802312115405994
jongno1234,-15.05676669977326,-14.70276516970019,-11.568157719350536,-20.41874599606596,-13.601108921261988,2.0362478418678984,-16.25221672153906,-7.513768076536242,6.026570662808777
jongno1234,-14.40241163751915,-14.054246086260765,-11.264222902360814,-19.653005930913686,-12.5904022269648,2.6227587697330628,-13.819488564106793,-5.900556398311174,5.357254550545024
jongno1234,-14.166153004734024,-14.126320953300535,-7.540279996038435,-20.37723896323154,-11.341893473659404,-0.2643821243819421,-13.590446633367586,-5.829065741933446,1.9763712090789598
jongno1234,-14.624500962624884,-15.86898634487603,-9.41005204340423,-19.254143384867998,-15.061933857756493,0.3374894709668158,-12.973900337020195,-5.425419758863392,5.20162004790788
hagye1,-2.842782812328108,-3.902364826873185,-1.8662596096655109,-3.515062074205676,-9.756682370796495,5.388631809343746,-4.5213911096308355,14.861648843216868,12.016128457836224
sanggye2,-7.039474279359133,-5.718738176834222,2.3725391271488396,-15.355609870526875,4.945144593819324,0.778781386807827,2.350051727167836,-1.8078556956714584,-12.636019391682813
gongneung1,-4.281465051196341,-3.0998510640804304,3.5851755121237776,-10.739492382564508,-4.4445940447610965,5.837724837794693,1.1241875523417897,-5.371596701375825,9.342995676148409
gongneung1,-3.6891339696971226,-4.978928006960016,-0.05656152445438231,-5.787237810424098,-3.2163602583507203,6.5763396363332935,-32.213764737838396,-3.227567417403112,30.0413091803158
gongneung2,-2.609653815558697,-2.241578375963764,-0.6375744235446633,-3.5566329552037965,-5.831028566363032,-3.5900271543187303,-11.445220675711678,-6.055311429126854,-3.2061143822459357
wolgye3,-0.3856859129036858,0.8583075707591734,1.5550594011123833,-3.8441155574319374,22.016487592279443,2.233649481016995,-19.69153788301416,3.111153731136454,-12.823020601198467
junggye23,-4.169539479220584,-2.7679423431008985,-0.12250516910880732,-9.338046052129169,26.240356652670744,6.116770691545968,-9.230580937300953,4.377818947702118,-11.017821671286443
sanggye2,-6.501535784636983,-5.814110242902247,2.721735447021513,-13.916786782442989,2.9569096845234575,1.5560704858681578,-3.530238942996105,-5.6715914134378655,-7.390231201709678
sanggye5,-6.58158136316563,-2.637026780378596,0.2526043742499217,-14.721068920422466,-7.887590990793098,3.4230144122250428,-5.4129707644357365,-0.40554306475090696,-15.679992237370383
sanggye67,-5.045358620079694,-5.03273801283659,2.438603232845749,-9.646934220431334,-13.624705900987024,3.0027121191861945,-0.4368642046213177,7.5420762225498335,-8.93273368312288
jongno1234,-15.701243248736574,-16.093965055101645,-10.520447850137543,-21.023114084836713,-12.6968501119079,-1.1813594353529555,-11.054385531139241,-7.270740318521177,7.1504641561307585
sanggye34,-11.029651496960382,-11.396876433871727,-6.738771272436472,-12.73654165655255,-15.493584209508686,-4.301552620175531,-16.003419880012732,-17.820854250250527,-37.54124169367847
changsin1,3.0301137349877583,-2.4228849334893754,16.628005277619366,-0.6594720115478968,-0.8294968994030899,21.315122099265864,33.88422956750536,-13.106936719087903,-25.933155160505656
buam,-17.34914820716833,-18.499790268398726,-13.123904084409876,-20.165397258539926,-14.687512937092645,-10.66008951456184,1.52049873503238,-17.74531097518853,-16.89547146040427
sajik,-10.047224857156722,-14.892643162856611,-2.2144698880752585,-15.424812371882595,12.704027719342179,3.5183855139491813,21.037530904439205,-5.587372046081608,20.891324592089425
jongno1234,-14.384764661601748,-15.333939803436325,-8.585138845854823,-19.291859179830144,-13.431238199611256,-0.8788063421036534,-11.794486173995185,-5.52187884513044,6.7910310504164215
changsin1,-2.440420843399996,-7.601278094918947,14.133403273432254,-6.954532757232075,-0.8764452504807736,10.838674941870805,21.677921238389906,-5.4920071008004925,-21.816005337228194
wolgye1,-5.198177890090705,-4.818688839071158,0.1581988895887432,-9.436043539006528,-3.171986120536812,0.7226774819665218,4.148537404314292,0.27130885879816063,-3.0094592362380634
changsin3,-20.45206331901453,-27.691827841362237,-19.677408622259023,-19.506728883758907,-5.637005946591108,-8.482397707233792,-23.836651713447342,2.3514399209393093,-22.213024130780358
cheongunhyoja,-5.4097534906639195,-7.001017380059824,1.1904430646496766,-11.432064319816346,0.12351157825677232,22.76063343924293,-11.35645514454032,-5.740932048943338,-15.472177817701935
pyeongchang,-6.398063965498912,-3.3378223554384605,-8.17220940865127,-11.334248649807751,-0.8948028065680488,3.6775710389810135,-0.08199799530998775,3.5410560858130715,-18.787518964972765
hyehwa,0.9041686032477608,-3.1819908621219675,3.7627244529097865,1.1284972891110832,-0.924148165484177,12.49385217707882,3.1786164769957104,-0.7793494472665787,-9.655899650542905
gahoe,-4.917772724945523,-0.6099581538992913,-0.7861181417532047,-11.785025638515153,-15.1764835906927,7.555268332825345,-3.7550086188571536,-9.104083365821594,0.4756952676973292
jongno56,-15.047393559648393,-16.456903560273208,-6.176775963470208,-19.87564831431237,-8.463995919464294,-0.6880434393138004,-2.1569257125525185,-11.298256923288395,70.97014360277886
hyehwa,-6.156925255930414,-8.94743195462621,-3.5256278353307136,-8.412986049515812,-0.2514569392325245,9.12492628475858,-4.984465944248793,-6.677096640397442,-1.235244960768903
gongneung2,1.834263089997629,0.9006633116152548,4.195137925884118,1.0467018002986164,0.595202388896885,5.747173802963853,-4.483419245009111,-3.690839842085208,-6.048505526464519
ihwa,1.1826267428257753,-10.341704626071582,8.909432816155633,-0.06477604409025485,3.1034509402702923,27.340607212273017,12.866603800833724,-0.6006468507097283,50.00056644713617
jongno1234,-15.90596492804486,-14.636501513122573,-10.70922486830199,-22.289193106831856,-11.829863982161985,-1.7967533015286568,-11.663040265101175,-8.654575052498197,5.200013740734536
gahoe,-4.412976074836419,-5.196305660417697,-2.0055002616344235,-3.6170211039545177,-17.419215726588696,-6.303315918398253,-16.92321726382813,-5.359568118320025,17.040451474626124
gahoe,-4.116105747015621,0.7665151939642937,0.27305124774746586,-10.566572466738592,-13.958328338018804,3.288692381910843,0.16882869450700352,-7.797254601946587,-10.258014233523893
jongno1234,-14.941217004252904,-14.843135079484364,-10.254683619090512,-20.515183079139053,-12.5847994894756,0.9222472095079882,-13.719522775731175,-7.133353221541853,5.149080867396827
sungin2,1.4222965347525445,-2.8480146690108445,9.523140202889099,1.8708883664135727,-10.342550787127989,9.412587931349623,-7.731139620058428,-5.0719577647871645,30.36103830851134
jongno1234,-15.16506782979283,-15.348704435875002,-11.003466078054647,-20.48961262403644,-12.26405642460008,1.1472727254415926,-11.53086283927275,-6.5930766118204955,8.850150516602802
junggyebon,-4.3183327596761005,-2.466327584980176,-6.911334219151444,-5.354456897694884,0.8453804768268718,3.2756829614761664,11.576960908071571,-3.4413222468381153,-6.18701175396559
